Geographic Area Name,Total,White,Black or African American ,American Indian and Alaska Native,Asian, Native Hawaiian and Other Pacific Islander , Some other race , Two or more races, Two or more racesTwo races including Some other race," Two or more racesTwo races excluding Some other race, and three or more races"
California,39346023,22053721,2250962,311629,5834312,149636,5623747,3122016,1472235,1649781
Alameda   ,1661584,631037,171922,11037,519249,13648,184195,130496,42070,88426
Alpine   ,1159,663,10,360,6,4,5,111,66,45
Amador   ,39023,33040,931,276,375,30,1537,2834,798,2036
Butte   ,223344,178568,3866,2628,10743,717,11214,15608,4134,11474
Calaveras   ,45828,40058,450,518,864,18,1008,2912,968,1944
Colusa   ,21491,17012,330,239,201,32,1369,2308,1670,638
Contra Costa   ,1147788,608789,98569,5191,200159,5676,124647,104757,35935,68822
Del Norte   ,27692,20002,747,1943,880,50,1910,2160,653,1507
El Dorado   ,190345,164552,1586,1312,9111,479,4646,8659,1736,6923
Fresno   ,990204,597574,46182,11604,105302,1518,143667,84357,50116,34241
Glenn   ,28060,22478,218,631,877,12,2958,886,311,575
Humboldt   ,136101,107151,1558,6162,3948,508,6017,10757,1617,9140
Imperial   ,180580,102305,4716,2111,2599,241,49175,19433,16008,3425
Inyo   ,17930,13705,96,1924,279,37,491,1398,457,941
Kern   ,892458,603368,48530,8462,43381,1380,112122,75215,48130,27085
Kings   ,151090,95764,9820,2232,5626,190,24230,13228,7532,5696
Lake   ,64276,48712,1583,2540,940,15,7252,3234,1057,2177
Lassen   ,30600,24181,2713,794,471,256,840,1345,676,669
Los Angeles   ,10040682,4795186,810286,78132,1488626,25068,2113852,729532,408624,320908
Madera   ,155925,94643,4919,2503,3362,159,38486,11853,6998,4855
Marin   ,259441,199068,6001,673,15060,361,20845,17433,4341,13092
Mariposa   ,17319,15134,266,392,186,62,514,765,39,726
Mendocino   ,87110,69709,424,3789,1740,137,4746,6565,2480,4085
Merced   ,273661,139469,8190,2885,20881,744,84561,16931,10527,6404
Modoc   ,8853,7801,123,313,169,7,239,201,54,147
Mono   ,14395,11966,81,407,633,0,667,641,21,620
Monterey   ,432977,209849,11162,3072,25186,2104,151957,29647,14697,14950
Napa   ,138572,98614,2862,961,10485,261,15647,9742,4213,5529
Nevada   ,99417,91597,410,496,1108,150,1172,4484,684,3800
Orange   ,3170345,1826960,54061,15552,667534,9497,379652,217089,96864,120225
Placer   ,391799,314938,6310,2204,31938,910,10585,24914,6738,18176
Plumas   ,18844,16679,279,350,232,29,334,941,180,761
Riverside   ,2437864,1358654,157908,18852,164464,7915,539108,190963,103291,87672
Sacramento   ,1537948,839349,148884,9505,256464,17028,125950,140768,41016,99752
San Benito   ,61547,45157,523,527,1745,63,6217,7315,4399,2916
San Bernardino   ,2162532,1212480,176523,18369,159917,6788,386398,202057,114747,87310
San Diego   ,3323970,2213608,164042,24373,398526,13727,223588,286106,123843,162263
San Francisco   ,874784,392476,44930,3800,300339,3179,67358,62702,16528,46174
San Joaquin   ,751615,387165,53116,4695,119446,4597,76400,106196,33923,72273
San Luis Obispo   ,282517,233297,4865,2383,10559,258,12435,18720,9202,9518
San Mateo   ,765623,369924,18104,3917,225027,9611,81350,57690,20943,36747
Santa Barbara   ,444895,319547,8474,4941,24678,528,43441,43286,26738,16548
Santa Clara   ,1924379,801381,47379,9990,724855,6949,189968,143857,59116,84741
Santa Cruz   ,273170,195781,3472,1708,13563,484,38978,19184,8461,10723
Shasta   ,179267,152586,1912,4420,5772,281,3925,10371,3043,7328
Sierra   ,2898,2722,3,69,0,0,88,16,0,16
Siskiyou   ,43516,36195,668,1686,547,160,826,3434,705,2729
Solano   ,444538,225258,60991,2531,69169,4212,41038,41339,10157,31182
Sonoma   ,496801,360200,8266,4441,21239,1614,66089,34952,14102,20850
Stanislaus   ,546235,384703,16961,4738,32003,3266,56972,47592,29782,17810
Sutter   ,96315,61307,1894,1061,15997,588,5950,9518,4071,5447
Tehama   ,64176,53987,420,865,1090,18,3344,4452,1949,2503
Trinity   ,12541,10694,65,722,244,35,449,332,42,290
Tulare   ,463955,309798,7606,5955,17310,618,85508,37160,26889,10271
Tuolumne   ,54147,46905,1007,948,753,146,1599,2789,808,1981
Ventura   ,845599,637686,15422,6990,61239,1943,50425,71894,38252,33642
Yolo   ,218774,145299,5694,1420,31584,1018,12433,21326,7912,13414
Yuba   ,77524,56990,2632,1030,5631,310,3370,7561,1922,5639