County,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
Alameda,46103,1829,1308,1160,1660,1135,1753,1629,2398,1592,3718,4399,7571,5393,3444,3966,3148
Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amador,325,0,0,19,0,0,0,7,40,0,27,46,111,31,4,35,5
Butte,2881,213,91,122,200,208,162,126,72,307,225,414,377,165,93,61,45
Calaveras,97,0,0,0,0,26,0,0,11,0,34,0,19,7,0,0,0
Colusa,295,34,4,0,24,12,0,0,4,17,35,38,48,58,2,9,10
Contra Costa,30280,852,806,872,766,1235,1365,1267,978,1229,2630,3560,5193,3219,2704,1890,1714
Del Norte,633,38,14,47,71,81,0,0,32,20,31,5,155,0,36,12,91
El Dorado,1194,32,10,49,37,81,40,0,32,110,149,136,198,44,104,70,102
Fresno,38719,2676,2409,2174,3201,1917,2528,2085,2145,1915,2723,4445,4269,3192,1218,985,837
Glenn,924,37,170,92,67,53,0,18,86,25,124,91,45,55,6,52,3
Humboldt,1708,82,99,187,50,165,40,164,95,88,25,243,298,25,8,89,50
Imperial,11430,753,1217,1042,962,387,729,434,567,717,788,1259,1097,616,324,304,234
Inyo,185,0,0,0,0,14,0,4,4,0,6,33,114,0,0,10,0
Kern,29780,1752,1774,1636,1565,1894,1807,1764,1475,1485,2454,2962,3931,2468,1304,1001,508
Kings,5705,384,174,266,191,356,350,309,596,397,642,503,682,607,82,129,37
Lake,1784,139,96,12,202,50,160,108,97,151,106,113,237,127,41,114,31
Lassen,98,0,0,1,0,0,0,62,3,1,11,3,15,1,1,0,0
Los Angeles,536209,25754,22109,23009,27164,27854,29057,27340,28046,23734,47034,61973,72439,46797,28493,27367,18039
Madera,8812,485,485,398,482,662,404,717,463,520,607,978,1031,698,360,287,235
Marin,4555,154,167,221,180,133,108,295,282,92,424,862,535,237,371,178,316
Mariposa,212,0,16,18,14,0,55,15,0,6,0,0,46,0,0,26,16
Mendocino,1296,161,147,88,42,5,23,75,1,9,210,121,191,114,25,48,36
Merced,20238,855,1142,1035,1113,898,1060,1181,1168,1333,1807,2987,2519,1442,841,622,235
Modoc,55,0,4,9,0,0,0,0,0,0,0,42,0,0,0,0,0
Mono,124,0,0,0,1,2,0,18,5,0,74,0,0,0,0,0,24
Monterey,33529,922,985,1071,1889,1586,1774,1752,2089,1772,3459,3913,5486,2995,1549,1508,779
Napa,3576,152,155,82,103,200,138,79,218,205,266,318,483,517,181,247,232
Nevada,416,0,0,0,22,0,0,0,68,27,118,47,44,17,10,19,44
Orange,86653,2824,2119,2398,3939,4211,3828,4119,3923,3606,7131,10297,12121,9732,6098,6246,4061
Placer,2662,113,107,265,116,70,62,149,62,40,155,246,418,245,219,159,236
Plumas,75,0,0,5,0,0,0,0,8,0,0,29,0,33,0,0,0
Riverside,132601,8645,5234,6709,7245,8086,6213,5634,6784,5538,11252,16051,16941,11798,6652,6287,3532
Sacramento,35466,2298,1572,1407,1405,1746,2080,1923,2220,1995,3900,3973,4239,2830,1389,1384,1105
San Benito,1567,43,45,33,58,61,54,57,30,32,93,229,225,219,110,198,80
San Bernardino,93624,3653,3276,3191,3853,4242,4629,3988,4301,4023,9111,12265,13907,8981,5414,5785,3005
San Diego,55538,2346,2015,1648,2428,2529,2497,2488,2439,2622,5200,6960,7281,6035,3426,3076,2548
San Francisco,18661,1010,1295,490,847,651,816,525,585,572,1411,1757,1950,1684,1233,1835,2000
San Joaquin,19785,755,712,725,862,887,1123,948,1096,793,2101,2329,2501,1989,961,672,1331
San Luis Obispo,3024,191,76,123,0,64,222,126,134,203,379,303,354,303,236,165,145
San Mateo,19963,510,399,564,589,646,1026,917,1006,634,1702,1669,3490,2136,1488,1509,1678
Santa Barbara,10956,447,354,389,605,303,364,571,792,453,882,1040,1558,1164,719,736,579
Santa Clara,44400,1480,1046,1224,1523,1294,1627,1499,2151,1922,2771,4641,6512,4911,3788,4114,3897
Santa Cruz,9028,283,448,462,456,301,469,334,184,439,922,923,1560,792,613,327,515
Shasta,1281,139,15,45,123,126,61,40,25,132,151,178,151,34,0,28,33
Sierra,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
Siskiyou,297,50,34,2,0,18,32,19,16,52,10,3,26,19,16,0,0
Solano,9953,219,148,209,304,497,201,288,760,310,706,1209,1741,1397,751,639,574
Sonoma,15304,784,390,691,317,452,797,803,550,746,1476,1556,2962,1340,1148,790,502
Stanislaus,14524,569,395,444,852,553,927,768,733,847,1311,1903,2032,1332,954,389,515
Sutter,1526,84,91,54,50,58,51,190,61,43,113,195,183,131,98,86,38
Tehama,886,30,115,87,198,22,59,0,32,78,42,0,206,2,0,0,15
Trinity,188,3,74,1,23,3,0,0,13,0,0,0,60,11,0,0,0
Tulare,22474,1751,1433,1012,1478,1279,1425,1036,1295,1144,2320,2462,2930,964,766,793,386
Tuolumne,370,0,0,0,0,15,0,38,0,28,13,17,91,73,71,24,0
Ventura,10836,321,282,371,262,366,420,406,591,478,711,1132,1573,1157,1029,1102,635
Yolo,3401,439,176,99,131,83,201,102,245,114,236,526,415,198,87,222,127
Yuba,985,26,30,12,67,28,129,40,45,9,136,53,120,143,82,42,23
Alameda,46103,1829,1308,1160,1660,1135,1753,1629,2398,1592,3718,4399,7571,5393,3444,3966,3148
Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amador,325,0,0,19,0,0,0,7,40,0,27,46,111,31,4,35,5
Butte,2881,213,91,122,200,208,162,126,72,307,225,414,377,165,93,61,45
Calaveras,97,0,0,0,0,26,0,0,11,0,34,0,19,7,0,0,0
Colusa,295,34,4,0,24,12,0,0,4,17,35,38,48,58,2,9,10
Contra Costa,30280,852,806,872,766,1235,1365,1267,978,1229,2630,3560,5193,3219,2704,1890,1714
Del Norte,633,38,14,47,71,81,0,0,32,20,31,5,155,0,36,12,91
El Dorado,1194,32,10,49,37,81,40,0,32,110,149,136,198,44,104,70,102
Fresno,38719,2676,2409,2174,3201,1917,2528,2085,2145,1915,2723,4445,4269,3192,1218,985,837
Glenn,924,37,170,92,67,53,0,18,86,25,124,91,45,55,6,52,3
Humboldt,1708,82,99,187,50,165,40,164,95,88,25,243,298,25,8,89,50
Imperial,11430,753,1217,1042,962,387,729,434,567,717,788,1259,1097,616,324,304,234
Inyo,185,0,0,0,0,14,0,4,4,0,6,33,114,0,0,10,0
Kern,29780,1752,1774,1636,1565,1894,1807,1764,1475,1485,2454,2962,3931,2468,1304,1001,508
Kings,5705,384,174,266,191,356,350,309,596,397,642,503,682,607,82,129,37
Lake,1784,139,96,12,202,50,160,108,97,151,106,113,237,127,41,114,31
Lassen,98,0,0,1,0,0,0,62,3,1,11,3,15,1,1,0,0
Los Angeles,536209,25754,22109,23009,27164,27854,29057,27340,28046,23734,47034,61973,72439,46797,28493,27367,18039
Madera,8812,485,485,398,482,662,404,717,463,520,607,978,1031,698,360,287,235
Marin,4555,154,167,221,180,133,108,295,282,92,424,862,535,237,371,178,316
Mariposa,212,0,16,18,14,0,55,15,0,6,0,0,46,0,0,26,16
Mendocino,1296,161,147,88,42,5,23,75,1,9,210,121,191,114,25,48,36
Merced,20238,855,1142,1035,1113,898,1060,1181,1168,1333,1807,2987,2519,1442,841,622,235
Modoc,55,0,4,9,0,0,0,0,0,0,0,42,0,0,0,0,0
Mono,124,0,0,0,1,2,0,18,5,0,74,0,0,0,0,0,24
Monterey,33529,922,985,1071,1889,1586,1774,1752,2089,1772,3459,3913,5486,2995,1549,1508,779
Napa,3576,152,155,82,103,200,138,79,218,205,266,318,483,517,181,247,232
Nevada,416,0,0,0,22,0,0,0,68,27,118,47,44,17,10,19,44
Orange,86653,2824,2119,2398,3939,4211,3828,4119,3923,3606,7131,10297,12121,9732,6098,6246,4061
Placer,2662,113,107,265,116,70,62,149,62,40,155,246,418,245,219,159,236
Plumas,75,0,0,5,0,0,0,0,8,0,0,29,0,33,0,0,0
Riverside,132601,8645,5234,6709,7245,8086,6213,5634,6784,5538,11252,16051,16941,11798,6652,6287,3532
Sacramento,35466,2298,1572,1407,1405,1746,2080,1923,2220,1995,3900,3973,4239,2830,1389,1384,1105
San Benito,1567,43,45,33,58,61,54,57,30,32,93,229,225,219,110,198,80
San Bernardino,93624,3653,3276,3191,3853,4242,4629,3988,4301,4023,9111,12265,13907,8981,5414,5785,3005
San Diego,55538,2346,2015,1648,2428,2529,2497,2488,2439,2622,5200,6960,7281,6035,3426,3076,2548
San Francisco,18661,1010,1295,490,847,651,816,525,585,572,1411,1757,1950,1684,1233,1835,2000
San Joaquin,19785,755,712,725,862,887,1123,948,1096,793,2101,2329,2501,1989,961,672,1331
San Luis Obispo,3024,191,76,123,0,64,222,126,134,203,379,303,354,303,236,165,145
San Mateo,19963,510,399,564,589,646,1026,917,1006,634,1702,1669,3490,2136,1488,1509,1678
Santa Barbara,10956,447,354,389,605,303,364,571,792,453,882,1040,1558,1164,719,736,579
Santa Clara,44400,1480,1046,1224,1523,1294,1627,1499,2151,1922,2771,4641,6512,4911,3788,4114,3897
Santa Cruz,9028,283,448,462,456,301,469,334,184,439,922,923,1560,792,613,327,515
Shasta,1281,139,15,45,123,126,61,40,25,132,151,178,151,34,0,28,33
Sierra,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
Siskiyou,297,50,34,2,0,18,32,19,16,52,10,3,26,19,16,0,0
Solano,9953,219,148,209,304,497,201,288,760,310,706,1209,1741,1397,751,639,574
Sonoma,15304,784,390,691,317,452,797,803,550,746,1476,1556,2962,1340,1148,790,502
Stanislaus,14524,569,395,444,852,553,927,768,733,847,1311,1903,2032,1332,954,389,515
Sutter,1526,84,91,54,50,58,51,190,61,43,113,195,183,131,98,86,38
Tehama,886,30,115,87,198,22,59,0,32,78,42,0,206,2,0,0,15
Trinity,188,3,74,1,23,3,0,0,13,0,0,0,60,11,0,0,0
Tulare,22474,1751,1433,1012,1478,1279,1425,1036,1295,1144,2320,2462,2930,964,766,793,386
Tuolumne,370,0,0,0,0,15,0,38,0,28,13,17,91,73,71,24,0
Ventura,10836,321,282,371,262,366,420,406,591,478,711,1132,1573,1157,1029,1102,635
Yolo,3401,439,176,99,131,83,201,102,245,114,236,526,415,198,87,222,127
Yuba,985,26,30,12,67,28,129,40,45,9,136,53,120,143,82,42,23